iter	Passed	Remaining
0	178	178510
1	204	101868
2	238	79167
3	268	66873
4	301	59970
5	338	56072
6	374	53071
7	405	50311
8	435	47955
9	461	45681
10	497	44753
11	529	43586
12	563	42811
13	594	41887
14	631	41465
15	663	40797
16	695	40189
17	728	39766
18	759	39212
19	792	38832
20	825	38460
21	857	38136
22	892	37917
23	924	37577
24	950	37080
25	988	37023
26	1022	36862
27	1057	36695
28	1094	36660
29	1132	36621
30	1166	36476
31	1203	36418
32	1243	36442
33	1278	36322
34	1313	36225
35	1345	36033
36	1376	35825
37	1420	35956
38	1453	35805
39	1485	35653
40	1519	35537
41	1555	35475
42	1592	35451
43	1629	35413
44	1661	35271
45	1700	35274
46	1732	35131
47	1763	34983
48	1793	34804
49	1827	34724
50	1860	34618
51	1895	34562
52	1921	34340
53	1956	34270
54	1994	34260
55	2029	34219
56	2068	34217
57	2105	34196
58	2141	34163
59	2175	34079
60	2211	34036
61	2241	33910
62	2274	33828
63	2312	33819
64	2350	33807
65	2385	33763
66	2416	33649
67	2449	33576
68	2489	33586
69	2523	33521
70	2559	33487
71	2596	33465
72	2630	33398
73	2668	33387
74	2702	33332
75	2734	33240
76	2768	33188
77	2801	33115
78	2842	33141
79	2877	33088
80	2912	33047
81	2948	33012
82	2987	33005
83	3021	32945
84	3054	32881
85	3093	32875
86	3125	32800
87	3159	32747
88	3200	32758
89	3235	32712
90	3273	32701
91	3311	32679
92	3346	32636
93	3375	32534
94	3412	32510
95	3445	32443
96	3477	32374
97	3513	32339
98	3548	32296
99	3584	32256
100	3624	32262
101	3660	32225
102	3693	32167
103	3727	32117
104	3763	32079
105	3796	32018
106	3829	31962
107	3862	31902
108	3895	31839
109	3929	31795
110	3964	31748
111	4003	31739
112	4034	31670
113	4070	31638
114	4111	31641
115	4147	31607
116	4182	31564
117	4220	31547
118	4256	31512
119	4298	31525
120	4331	31467
121	4363	31399
122	4398	31364
123	4441	31380
124	4474	31321
125	4511	31294
126	4545	31248
127	4584	31228
128	4623	31219
129	4662	31201
130	4701	31189
131	4738	31161
132	4773	31117
133	4808	31078
134	4848	31065
135	4881	31013
136	4917	30979
137	4953	30942
138	4993	30929
139	5020	30838
140	5057	30813
141	5086	30736
142	5126	30724
143	5160	30675
144	5196	30638
145	5231	30599
146	5267	30563
147	5301	30521
148	5334	30466
149	5364	30400
150	5401	30372
151	5437	30333
152	5467	30265
153	5501	30224
154	5536	30182
155	5568	30128
156	5600	30068
157	5634	30026
158	5670	29993
159	5709	29972
160	5741	29922
161	5777	29883
162	5809	29830
163	5855	29849
164	5889	29803
165	5921	29748
166	5953	29695
167	5987	29650
168	6021	29606
169	6063	29605
170	6093	29543
